CustomerID,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Spending,Response
80,Basic,Widowed,28351,528,471,869,241,128,71,14,2,12,13,2959,Yes
81,Master,Married,143544,37,65,974,409,137,136,0,8,0,9,2571,No
82,Bachelor,Married,44639,356,125,587,224,49,40,10,7,8,0,2657,Yes
83,Bachelor,Divorced,86271,898,25,931,403,10,259,7,10,14,10,2850,No
84,Basic,Single,94243,146,400,461,460,148,4,6,6,11,5,4123,Yes
85,Bachelor,Divorced,51910,700,162,201,113,192,290,14,1,4,11,1745,No
86,Bachelor,Single,130721,660,236,327,489,81,202,13,11,14,5,1755,Yes
87,Master,Divorced,37814,181,450,424,419,193,45,1,12,10,4,4305,Yes
88,Bachelor,Married,35046,510,327,544,196,83,276,13,10,13,5,2089,Yes
89,Master,Widowed,113267,53,149,848,476,57,281,9,4,2,9,3525,Yes
90,Bachelor,Divorced,64579,230,258,687,498,95,247,4,8,1,12,1347,Yes
91,Basic,Divorced,78043,128,389,99,121,126,142,14,7,10,14,3081,Yes
92,Master,Married,89044,471,434,889,216,148,94,3,7,4,2,2059,No
93,Master,Divorced,36400,17,448,999,264,32,236,2,0,4,2,2309,Yes
94,Bachelor,Married,128117,976,122,399,27,113,261,14,9,3,11,4414,Yes
95,Master,Single,122214,415,450,528,310,162,164,9,7,6,13,4952,No
96,Bachelor,Married,77594,988,13,504,392,148,235,6,3,14,2,2826,No
97,Bachelor,Single,149523,239,80,231,346,196,234,4,8,3,12,4237,Yes
98,Bachelor,Divorced,73863,705,352,151,142,153,74,3,7,13,8,2191,Yes
99,Basic,Single,33142,63,366,549,175,189,156,4,13,8,0,1655,Yes
100,Basic,Widowed,136173,232,156,526,221,103,221,0,0,5,13,1432,Yes
101,Basic,Married,42857,578,494,915,137,108,12,5,4,2,3,4456,Yes
102,Bachelor,Single,146957,59,379,551,234,129,171,7,4,2,11,3927,No
103,Bachelor,Divorced,99296,6,59,846,29,36,142,7,1,14,3,3610,Yes
104,Bachelor,Single,48408,661,229,12,353,22,299,10,7,7,9,3585,Yes
105,PhD,Married,123739,677,137,586,133,156,221,1,10,0,10,4924,No
106,Bachelor,Married,38285,327,252,248,222,164,1,9,3,12,12,4814,Yes
107,Bachelor,Single,147992,98,252,163,232,77,144,13,4,9,5,2882,No
108,Master,Married,23536,323,486,72,43,69,212,1,14,5,9,4006,No
109,Bachelor,Married,85831,490,38,237,345,199,80,12,13,1,3,4520,Yes
110,Basic,Widowed,33517,106,233,384,269,31,73,1,14,11,1,3856,No
111,Bachelor,Single,73552,532,227,333,402,98,122,14,2,14,4,1688,No
112,Basic,Single,135511,420,276,811,105,104,179,10,13,9,8,1960,Yes
113,PhD,Married,97136,718,32,288,486,106,275,14,8,9,10,3228,Yes
114,Master,Married,56617,684,119,867,306,129,107,13,9,9,2,2179,Yes
115,Bachelor,Married,142233,987,371,682,338,54,88,7,3,6,8,3446,Yes
116,Master,Single,49905,57,176,667,492,139,7,5,2,9,14,1076,Yes
117,Master,Married,48834,425,223,186,19,24,222,6,2,2,3,3778,No
118,Basic,Divorced,95145,174,268,331,207,71,157,8,2,1,13,1558,No
119,Master,Single,24906,324,472,699,68,108,61,4,1,13,14,1985,Yes
120,Bachelor,Single,106035,800,449,808,430,13,17,6,10,1,3,1944,Yes
121,Master,Married,94447,827,35,640,152,127,57,7,1,9,4,4740,No
122,Master,Single,74672,899,268,182,313,114,189,14,10,1,10,4507,Yes
123,Bachelor,Married,125463,580,129,554,178,109,291,10,7,6,9,3034,Yes
124,Basic,Single,78918,364,129,193,169,112,63,2,11,4,7,2227,Yes
125,Bachelor,Single,22097,564,92,382,100,71,41,5,8,5,5,2145,Yes
126,Bachelor,Married,123515,66,456,468,142,8,41,6,7,13,6,3433,No
127,Master,Single,56680,694,29,963,377,84,235,8,3,5,3,2363,Yes
128,Master,Divorced,84979,340,33,742,254,46,187,10,13,14,4,4801,No
129,Basic,Divorced,148709,69,163,116,497,30,253,11,0,13,3,4850,Yes
130,Bachelor,Married,128492,586,38,223,442,165,190,2,9,5,3,4142,Yes
131,Bachelor,Married,100072,984,409,298,320,178,276,5,7,3,0,1873,No
132,Bachelor,Single,122575,519,497,260,74,82,148,6,4,1,7,1826,Yes
133,Basic,Married,24512,948,480,189,366,25,18,5,9,7,5,4392,Yes
134,Bachelor,Married,55618,347,55,111,54,156,154,3,2,3,4,1191,Yes
135,PhD,Single,124085,499,118,295,90,16,253,13,5,13,7,1374,Yes
136,Bachelor,Single,27062,448,318,709,455,8,86,11,6,13,3,688,Yes
137,Bachelor,Single,92749,436,415,155,145,72,2,9,7,8,5,830,Yes
138,Master,Single,94840,115,51,129,388,175,241,8,0,0,13,3934,Yes
139,Bachelor,Married,122627,25,155,788,111,186,64,4,7,2,9,4251,Yes
140,PhD,Divorced,70038,607,211,866,390,198,169,1,1,4,10,710,No
141,PhD,Married,34086,579,139,630,435,168,225,9,11,8,11,1883,Yes
142,Bachelor,Married,26158,151,271,979,429,174,95,1,11,2,9,3482,Yes
143,Bachelor,Married,147324,106,45,90,489,42,181,12,4,3,3,4338,No
144,Bachelor,Single,106983,481,119,179,214,150,238,10,4,9,1,2259,No
145,Bachelor,Married,96964,558,193,441,187,97,57,10,8,8,3,3379,Yes
146,Basic,Single,79849,23,91,84,93,104,277,12,6,4,3,4996,Yes
147,Bachelor,Single,145513,46,15,275,408,89,153,3,3,6,11,1281,No
148,Bachelor,Married,87899,926,220,735,208,141,176,3,8,9,12,2418,Yes
149,Basic,Single,46545,313,74,264,46,75,255,3,9,7,14,1900,No
150,Bachelor,Single,22668,72,218,253,87,55,268,14,7,13,8,3561,No
151,PhD,Single,24364,176,364,777,104,178,134,6,12,6,3,503,Yes
152,Bachelor,Single,46770,313,1,788,476,156,159,10,4,12,10,2735,Yes
153,Basic,Married,116751,690,108,200,102,75,246,5,3,6,7,2994,No
154,Bachelor,Single,59216,14,166,548,344,71,172,11,10,5,7,2771,No
155,PhD,Single,47926,668,141,117,10,80,44,5,1,5,3,1915,Yes
156,Bachelor,Single,137814,841,237,14,451,27,145,6,14,3,14,4381,Yes
157,Bachelor,Single,52654,752,457,969,115,101,229,8,13,11,5,3753,Yes
158,Master,Divorced,148464,204,344,250,205,153,176,12,8,11,8,1177,No
159,Bachelor,Single,146473,449,210,963,102,103,14,6,14,14,11,768,No
160,Master,Single,111319,845,147,478,326,40,272,12,2,11,6,972,Yes
161,Bachelor,Married,70291,756,414,151,253,117,228,0,8,2,9,1822,No
162,Bachelor,Single,50055,235,95,232,325,174,160,6,0,13,5,1028,No
163,Bachelor,Married,148830,168,85,93,221,50,129,4,4,2,0,3141,No
164,Bachelor,Single,75480,335,141,619,69,116,146,13,5,4,1,3887,Yes
165,Basic,Widowed,93261,826,336,278,150,129,108,9,5,4,5,1721,No
166,Master,Widowed,96704,579,186,487,80,184,262,8,2,14,0,1171,No
167,Bachelor,Married,45143,213,424,14,119,76,83,5,1,5,5,1486,Yes
168,Basic,Married,119948,797,177,711,267,169,119,2,7,2,2,1196,Yes
169,Basic,Married,108337,468,489,5,70,188,34,7,7,11,13,2675,Yes
170,Bachelor,Widowed,113763,502,107,842,122,17,53,1,3,1,3,2537,Yes
171,Bachelor,Married,51034,359,225,838,49,62,179,8,0,5,4,4420,Yes
172,Basic,Single,37539,519,73,890,52,44,169,7,4,14,3,829,Yes
173,Bachelor,Single,48814,99,85,396,274,61,159,12,5,11,0,3125,No
174,Bachelor,Single,64702,573,144,651,297,164,168,5,3,5,11,1906,Yes
175,Bachelor,Married,98593,14,226,879,68,186,212,0,0,2,13,3262,No
176,Basic,Single,79083,969,184,725,316,196,254,10,5,1,14,1956,Yes
177,Bachelor,Married,117853,317,411,938,421,158,186,2,11,14,5,2155,Yes
178,Bachelor,Single,54976,817,248,354,50,128,78,4,9,11,2,3582,Yes
179,PhD,Divorced,123853,241,161,79,83,163,138,0,10,1,12,2018,No
180,Basic,Married,101147,223,213,316,187,72,246,5,13,2,10,2209,No
181,Bachelor,Married,111569,79,391,357,8,187,165,6,2,2,13,1923,Yes
182,Basic,Married,131763,622,173,631,47,50,130,10,9,10,13,3713,No
183,PhD,Divorced,55265,846,393,956,455,142,212,8,11,9,2,561,Yes
184,Master,Single,117254,294,465,820,89,42,50,12,7,1,9,1663,Yes
185,Bachelor,Single,99168,614,231,565,407,47,162,4,3,7,9,1158,No
186,Bachelor,Married,149788,768,98,597,399,78,95,0,7,5,1,3772,Yes
187,Master,Married,90483,386,405,855,245,165,150,14,9,10,6,4242,Yes
188,Bachelor,Married,78359,52,483,629,59,21,289,2,0,14,5,2952,Yes
189,Bachelor,Single,20535,784,481,720,1,80,157,7,4,0,1,3835,Yes
190,Bachelor,Single,95917,438,43,130,408,19,266,5,3,13,1,2034,Yes
191,Basic,Single,121936,125,191,252,246,102,104,6,4,9,7,4302,No
192,Master,Divorced,68740,395,228,878,183,191,41,4,3,2,7,2389,Yes
193,PhD,Single,30152,880,153,644,239,84,192,6,9,6,9,4004,Yes
194,Bachelor,Married,117436,610,85,712,151,133,281,2,12,0,5,2582,Yes
195,Bachelor,Married,76468,118,38,171,314,115,140,1,5,3,11,4220,Yes
196,Bachelor,Single,80191,769,281,482,178,39,7,3,7,10,9,2602,No
197,Master,Single,126682,290,248,692,430,180,21,0,3,5,7,2692,Yes
198,Master,Single,48287,714,117,991,187,58,103,2,4,11,2,1782,Yes
199,Master,Married,141396,666,468,713,27,4,126,6,9,10,7,3555,Yes
200,Master,Single,62981,697,407,751,476,79,282,6,0,3,12,2432,Yes
201,Bachelor,Single,77847,402,177,645,227,82,239,5,8,13,6,1066,Yes
202,Basic,Single,22646,147,231,689,312,80,212,5,14,1,6,1754,Yes
203,Basic,Single,86268,74,295,415,88,13,162,2,5,0,12,3911,Yes
204,Master,Single,67309,667,44,719,322,145,245,8,5,9,0,1724,Yes
205,Bachelor,Single,145502,144,435,504,451,6,22,3,12,9,2,1787,No
206,Basic,Single,39142,139,295,653,161,142,260,8,4,4,10,3739,Yes
207,Basic,Married,149686,452,29,453,28,66,204,11,5,2,12,2912,Yes
208,Bachelor,Single,98928,934,51,391,1,148,2,13,5,0,8,4278,Yes
209,Basic,Married,133697,758,143,973,98,179,46,4,2,12,5,1430,Yes
210,Basic,Married,64964,409,373,925,34,175,258,9,8,0,12,3890,Yes
211,Bachelor,Divorced,39844,214,105,26,395,117,247,8,8,6,11,2588,Yes
212,Bachelor,Single,63049,871,55,332,206,117,62,7,13,10,9,2973,Yes
213,Bachelor,Single,87820,203,118,95,417,187,28,0,10,7,14,2872,No
214,Bachelor,Divorced,136947,833,349,332,461,60,217,3,10,8,0,4401,Yes
215,Master,Divorced,22759,198,296,355,269,20,237,0,8,0,0,1503,No
216,Bachelor,Single,132967,907,421,723,142,62,3,3,7,0,13,1020,No
217,Bachelor,Single,34843,490,390,831,334,130,221,14,3,12,14,4183,No
218,Master,Divorced,77943,458,290,653,104,64,272,1,10,9,7,4887,Yes
219,Bachelor,Single,144312,23,486,756,403,37,80,10,3,3,13,3313,No
220,Master,Divorced,95053,596,216,669,12,55,61,8,6,11,13,2988,Yes
221,Bachelor,Widowed,144698,982,453,348,73,193,145,0,13,10,0,3097,Yes
222,Bachelor,Single,61055,203,373,788,27,47,290,4,4,3,2,3706,No
223,Basic,Divorced,115878,959,167,103,356,145,47,7,0,11,5,904,No
224,Bachelor,Married,139739,44,205,535,372,177,182,0,10,13,12,3385,Yes
225,Bachelor,Married,132651,667,10,741,425,48,243,4,9,12,8,4169,Yes
226,Bachelor,Married,26767,737,30,447,72,2,92,2,3,13,14,1761,Yes
227,PhD,Single,27302,36,57,641,34,105,291,1,9,0,14,1855,Yes
228,Bachelor,Married,131980,704,285,857,302,55,171,9,9,7,4,3637,No
229,Master,Single,40908,709,29,5,105,101,256,3,13,13,14,559,No
230,Bachelor,Divorced,101799,383,85,803,108,182,186,14,0,4,10,3450,Yes
231,Master,Married,95907,374,393,351,80,164,187,14,4,11,10,1513,No
232,Bachelor,Single,39867,899,485,715,181,134,0,4,13,9,1,2333,Yes
233,Bachelor,Single,87629,103,257,626,437,25,14,5,0,9,4,3435,Yes
234,Bachelor,Divorced,45276,57,97,483,11,107,61,5,1,2,6,3727,No
235,Basic,Single,24975,937,481,40,78,34,215,5,14,11,14,3271,No
236,Master,Divorced,108783,829,144,424,260,4,169,9,5,6,4,2246,Yes
237,Bachelor,Single,98375,268,187,296,0,14,244,6,8,10,9,3859,No
238,Basic,Married,89409,914,95,350,81,112,164,0,1,10,13,3066,Yes
239,Bachelor,Divorced,63379,340,0,943,79,64,32,5,11,12,2,3386,Yes
240,Basic,Single,84794,316,363,204,220,81,174,14,8,2,0,3816,Yes
241,PhD,Single,46521,737,57,32,286,165,219,11,12,1,8,3393,Yes
242,PhD,Divorced,28586,984,44,232,55,4,5,7,14,0,10,2620,Yes
243,PhD,Married,43040,124,114,624,481,61,18,3,14,7,8,2337,Yes
244,Bachelor,Married,48820,470,58,427,137,196,223,12,10,4,11,3654,No
245,Basic,Divorced,126271,470,248,497,498,164,185,13,10,8,1,3290,Yes
246,PhD,Married,133354,517,415,390,66,53,148,13,0,1,3,639,Yes
247,Bachelor,Divorced,42742,529,293,527,446,28,238,8,2,8,5,3525,No
248,PhD,Married,128219,898,315,847,408,54,43,10,3,10,0,3111,Yes
249,PhD,Married,54371,295,171,562,261,175,165,11,4,7,9,2508,No
250,Master,Single,146593,545,67,740,174,77,255,8,7,14,9,1548,No
251,Bachelor,Divorced,105331,709,251,208,182,180,178,7,2,11,2,3504,Yes
252,Bachelor,Married,114171,545,231,684,264,178,3,4,12,10,0,1426,Yes
253,Master,Single,58709,556,209,949,12,140,125,2,6,14,4,3797,No
254,Bachelor,Married,149928,833,332,510,439,147,48,12,6,4,2,2223,Yes
255,Basic,Single,32778,462,442,502,489,33,108,2,1,8,8,3332,Yes
256,Bachelor,Married,137956,94,2,6,431,134,173,3,10,10,13,2250,No
257,PhD,Widowed,64681,864,164,701,489,86,82,4,3,3,9,777,No
258,Bachelor,Single,95848,810,237,232,447,12,62,5,5,11,13,2479,Yes
259,Bachelor,Widowed,35362,893,28,60,48,144,253,8,10,12,11,950,No
260,Basic,Single,54590,51,440,923,279,26,4,8,9,0,6,4590,No
261,Bachelor,Married,81538,513,199,433,372,124,84,8,14,8,11,2844,No
262,PhD,Married,60323,988,95,852,407,46,231,8,9,12,1,3052,Yes
263,Basic,Single,90278,519,430,805,463,177,200,1,8,7,0,1305,Yes
264,Bachelor,Married,118063,131,285,262,280,47,285,1,1,14,8,733,No
265,Master,Divorced,125487,704,172,948,130,119,123,6,9,12,9,3815,No
266,Master,Single,137083,255,213,625,277,183,123,13,9,3,13,3494,Yes
267,Bachelor,Single,80006,637,40,911,415,81,82,5,7,13,13,3699,No
268,Master,Married,87953,570,67,377,206,105,137,12,8,7,12,4568,Yes
269,Bachelor,Married,122668,576,216,115,302,142,28,13,9,1,13,1356,Yes
270,Bachelor,Widowed,78091,639,143,133,203,116,28,5,3,7,13,2747,No
271,Master,Single,141532,494,23,418,280,17,180,9,12,4,10,4819,Yes
272,Master,Divorced,124147,540,301,465,292,66,243,10,3,14,2,637,Yes
273,Master,Married,85196,43,28,37,15,6,203,10,3,11,9,852,Yes
274,PhD,Single,135447,293,173,439,321,180,160,9,9,6,9,997,No
275,Bachelor,Widowed,109283,728,12,339,245,128,213,1,1,13,10,1337,No
276,Bachelor,Single,147639,145,359,793,251,152,44,13,2,2,7,2995,No
277,Master,Married,32511,459,251,696,495,182,179,0,6,9,11,2510,Yes
278,Bachelor,Married,121461,650,346,262,483,145,253,3,1,12,3,4668,Yes
279,Master,Married,140507,4,103,591,337,46,143,7,5,9,10,1990,Yes
280,Master,Married,60573,956,418,558,343,98,61,0,10,14,6,1182,Yes
281,Master,Married,64011,646,92,351,250,61,94,5,3,3,5,3239,No
282,Bachelor,Single,27867,442,65,864,108,141,241,4,8,9,1,3301,No
283,Bachelor,Married,115492,948,226,951,50,157,181,0,9,12,12,1898,Yes
284,Basic,Divorced,99480,292,362,273,350,192,245,3,6,14,4,3491,No
285,Bachelor,Married,85377,444,9,103,417,80,238,12,9,5,1,1443,Yes
286,Basic,Widowed,97671,930,494,600,163,92,19,2,14,13,5,4647,Yes
287,Bachelor,Married,146111,500,15,405,75,105,87,4,1,10,13,2630,No
288,Bachelor,Married,101656,160,253,633,322,35,240,0,5,13,14,2224,Yes
289,Bachelor,Married,126583,200,4,794,445,76,126,10,8,9,5,1626,Yes
290,Bachelor,Single,88964,912,415,822,144,95,223,5,2,3,5,3217,No
291,Basic,Divorced,29863,827,74,992,204,22,27,9,12,3,1,616,No
292,Basic,Divorced,40910,238,293,625,354,188,15,7,7,7,14,2653,No
293,Master,Divorced,27377,942,99,887,424,105,259,13,5,8,5,1021,Yes
294,Bachelor,Married,131339,450,351,270,223,151,245,5,13,14,11,2089,Yes
295,Basic,Divorced,74344,999,417,840,52,187,145,12,5,4,8,3578,Yes
296,Bachelor,Married,128417,144,339,587,83,53,66,2,2,3,9,4547,Yes
297,Master,Married,123232,102,29,698,467,193,219,13,13,8,7,3628,Yes
298,Bachelor,Divorced,144532,332,341,894,307,1,220,8,6,14,0,2705,Yes
299,Bachelor,Married,132326,2,369,121,206,91,144,10,13,6,6,4927,Yes
300,Basic,Married,91593,978,26,235,400,37,241,13,0,11,4,2929,Yes
301,Basic,Single,121139,164,493,12,253,78,84,3,12,6,7,3072,No
302,Bachelor,Divorced,22546,173,486,658,488,151,247,6,10,3,8,4892,Yes
303,Bachelor,Single,27931,965,462,979,287,86,154,14,12,4,6,1828,No
304,Bachelor,Single,93354,673,358,306,449,124,105,3,6,9,5,4822,No
305,Master,Single,148723,866,80,192,233,110,90,12,3,9,13,829,Yes
306,PhD,Married,130956,550,60,489,42,7,22,6,2,10,10,514,Yes
307,Bachelor,Single,109345,973,44,814,271,82,25,14,14,4,11,4731,Yes
308,Bachelor,Married,145536,501,250,719,248,107,299,8,1,7,10,1697,No
309,Master,Single,146293,267,143,945,369,179,92,0,3,10,10,4842,Yes
310,Bachelor,Married,83323,923,448,449,379,55,178,3,10,3,13,4332,Yes
311,Bachelor,Single,64190,422,129,611,465,86,191,4,10,5,5,1177,Yes
312,Basic,Single,139010,705,401,370,345,185,174,3,1,9,2,2198,No
313,Basic,Divorced,37161,166,13,479,463,110,157,2,3,6,10,1198,No
314,PhD,Single,88949,624,499,747,480,17,280,2,10,14,4,2728,Yes
315,Master,Single,97264,933,180,291,62,9,91,4,8,12,6,4237,Yes
316,Bachelor,Widowed,49242,216,123,226,348,83,134,7,1,12,4,1057,Yes
317,Bachelor,Single,55178,602,56,127,55,158,188,13,13,6,14,3736,Yes
318,Basic,Single,57093,380,482,629,196,28,114,4,2,12,6,4633,Yes
319,Basic,Single,35985,311,345,933,385,36,258,2,6,0,14,4919,No
320,Bachelor,Single,53926,890,105,936,194,121,280,0,10,14,14,1735,Yes
321,Bachelor,Single,89924,801,176,883,297,71,151,1,14,12,2,3973,Yes
322,Master,Divorced,60716,255,145,850,382,148,155,8,2,10,8,2135,Yes
323,Bachelor,Single,124924,248,437,360,7,39,137,13,9,0,2,1634,Yes
324,Bachelor,Single,88469,411,442,185,255,96,168,7,3,9,12,4314,Yes
325,PhD,Divorced,85433,490,31,674,307,72,144,11,4,12,12,1232,Yes
326,Master,Married,31266,489,45,637,395,88,52,10,3,4,4,2487,Yes
327,Bachelor,Single,96582,61,120,641,209,37,117,7,1,10,1,2594,Yes
328,Bachelor,Married,119209,557,324,511,31,51,129,10,12,11,14,3967,Yes
329,Bachelor,Single,105924,410,403,703,314,20,205,6,0,14,1,4201,Yes
330,Bachelor,Married,32054,72,108,402,323,175,244,4,1,4,2,4255,No
331,Bachelor,Married,149555,860,49,777,10,105,29,13,9,10,4,4394,No
332,Master,Widowed,147777,967,494,707,7,0,278,0,1,10,14,1632,Yes
333,Basic,Single,102691,501,115,267,475,53,131,10,2,10,10,2172,Yes
334,Basic,Married,95679,819,401,124,368,76,161,8,4,0,0,2434,Yes
335,Basic,Single,52364,870,277,746,105,83,97,3,11,11,6,2002,No
336,Basic,Married,113353,897,132,869,10,137,207,3,14,7,5,696,Yes
337,Master,Single,24497,592,383,478,282,160,125,13,1,0,13,4438,Yes
338,Master,Married,143699,230,196,317,74,83,54,12,11,13,2,2604,Yes
339,Bachelor,Married,48800,741,304,67,313,144,188,4,8,9,8,2051,Yes
340,Basic,Widowed,24182,291,329,62,62,178,89,7,4,2,11,2731,No
341,Bachelor,Divorced,44427,973,288,997,86,151,7,7,1,14,2,4911,Yes
342,Bachelor,Married,104428,150,40,512,208,119,64,2,10,14,1,3487,Yes
343,Basic,Single,119203,768,391,401,305,61,291,2,4,3,2,2822,Yes
344,Bachelor,Married,57093,320,231,863,475,166,228,1,0,5,8,1485,No
345,Bachelor,Married,123368,834,476,571,230,127,29,10,6,3,9,744,No
346,Bachelor,Single,118276,999,10,937,156,162,188,3,11,12,6,3075,Yes
347,Bachelor,Married,96461,86,201,27,258,177,125,14,14,11,1,2060,Yes
348,Basic,Single,124606,667,76,646,116,127,224,5,14,12,5,2035,No
349,Bachelor,Single,127585,719,201,195,304,178,216,14,6,11,6,4174,No
